INDPB,MUTPB,AEP
0.5,0.65,1453802.8014091977
0.5,0.7,1350081.8212556273
0.5,0.75,1410292.9342071356
0.5,0.8,1358284.3577204694
0.5,0.85,1342629.6914537135
0.5,0.9,1342804.5011660035
0.5,0.95,1338552.7310375415
0.5,1.0,1350304.0566258167
0.55,0.65,1346766.5275756633
0.55,0.7,1343450.4206448984
0.55,0.75,1351691.638369686
0.55,0.8,1338029.960478331
0.55,0.85,1341845.2364209278
0.55,0.9,1355216.0210969076
0.55,0.95,1343228.604325083
0.55,1.0,1356856.4290629476
0.6,0.65,1342526.5749910076
0.6,0.7,1343538.623952311
0.6,0.75,1349392.3150914786
0.6,0.8,1349283.8020086589
0.6,0.85,1347740.0138215988
0.6,0.9,1345465.2782154423
0.6,0.95,1341745.2738144097
0.6,1.0,1347004.3048320021
0.65,0.65,1345315.4269376493
0.65,0.7,1351600.3201149204
0.65,0.75,1338312.6321169133
0.65,0.8,1340738.0637674502
0.65,0.85,1347004.3048320021
0.65,0.9,1347740.013821599
0.65,0.95,1342166.8670353768
0.65,1.0,1347004.3048320021
0.7,0.65,1344541.1826474867
0.7,0.7,1355216.0210969078
0.7,0.75,1343534.217230558
0.7,0.8,1347312.1448333412
0.7,0.85,1346420.755254577
0.7,0.9,1352918.9449709766
0.7,0.95,1340316.9439490624
0.7,1.0,1342190.2324813236
0.75,0.65,1336633.297446921
0.75,0.7,1346938.7009410497
0.75,0.75,1346103.1175220062
0.75,0.8,1353142.8761664385
0.75,0.85,1346420.755254577
0.75,0.9,1350515.1344078195
0.75,0.95,1349928.170415481
0.75,1.0,1344987.877788039
0.8,0.65,1366034.3479267815
0.8,0.7,1350285.3250577587
0.8,0.75,1343582.443057652
0.8,0.8,1347004.3048320024
0.8,0.85,1358205.6049026547
0.8,0.9,1350515.1344078195
0.8,0.95,1346016.135997808
0.8,1.0,1342190.2324813236
0.85,0.65,1338465.439204074
0.85,0.7,1346495.2936406455
0.85,0.75,1345771.5593968173
0.85,0.8,1345634.0907079852
0.85,0.85,1350515.1344078195
0.85,0.9,1353687.2989257618
0.85,0.95,1342752.46355499
0.85,1.0,1347913.2270287084
0.9,0.65,1342290.004779804
0.9,0.7,1349744.469564385
0.9,0.75,1349638.757581354
0.9,0.8,1347234.7559978
0.9,0.85,1346420.755254577
0.9,0.9,1346420.755254577
0.9,0.95,1335301.6714982737
0.9,1.0,1344686.6685946672
0.95,0.65,1337680.4998396623
0.95,0.7,1337124.48174862
0.95,0.75,1338655.0506643935
0.95,0.8,1353084.847206622
0.95,0.85,1346420.755254577
0.95,0.9,1346420.755254577
0.95,0.95,1344380.6945503312
0.95,1.0,1338024.204458164
1.0,0.65,1334252.2158541162
1.0,0.7,1346420.755254577
1.0,0.75,1346420.755254577
1.0,0.8,1347913.2270287084
1.0,0.85,1346420.755254577
1.0,0.9,1351367.470659412
1.0,0.95,1340522.2166165044
1.0,1.0,1352665.6686465966
